Facility,State,latitude,longitude,links,Tonnage1314
Atlantic Waste Disposal (Waverly),VA,37.071073,-77.181048,,793675
Grows North,PA,40.179927,-74.772341,,520653
Covanta: Essex,NJ,40.741177,-74.127385,,415483
Seneca Meadows,NY,42.914026,-76.844965,https://www.youtube.com/watch?v=ae9tVGyXCF0,343433
Lee County,SC,34.190001,-80.284191,,205686
Keystone Landfill,PA,41.415332,-75.599427,,123022
Liberty Waste/APEX,OH,40.473676,-80.922867,,115222
Bethlehem Landfill,PA,40.621465,-75.309368,,109415
Cumberland County Landfill,PA,40.143277,-77.504429,,106342
Big Run-ESI,KY,38.372497,-82.756384,,75048
American Refuel (Chester),PA,39.826516,-75.388361,,71935
Tullytown,PA,40.143921,-74.806533,,68775
Covanta: Delaware County,PA,39.826516,-75.388361,,56675
Wheelabrator West. Reco (Peekskill),NY,41.277026,-73.941529,,44803
Blue Ridge Landfill,PA,39.963037,-77.548641,,40144
Commonwealth Environmental System,PA,40.676204,-76.37671,,36689
Covanta Hempstead,NY,40.743175,-73.592166,,28397
Bridgeport Resco,CT,41.37824,-73.277968,,8886
Mamaroneck/Hempstead,NJ,40.60129,-74.266462,,7473
Covanta Rahway,NJ,40.604467,-74.264224,,5172
Superior Greentree,PA,41.301271,-78.665267,,4878
Victory Gardens,PA,40.212619,-75.139463,,1922
OMNI Recycling of Babylon,NY,40.730632,-73.39499,,1672
Shoosmith Bros.,VA,37.351216,-77.496604,,1017
Wheelabrator Falls,NY,43.305522,-73.591221,,964
Keegan Landfill,NJ,40.753107,-74.138388,,905
Gloucester County Mulch,NJ,39.762586,-75.108489,,618
Britton Industries,NJ,40.271815,-74.702514,,374
Natural Choice Reliable Wood,NJ,40.879937,-74.613573,,190
