Material,Primary Disposal Facility,Location,Latitude,Longitude
"Met, Glass, Plastic",Sims - Jersey,"1 Linden Avenue East Jersey City, NJ",40.687229,-74.080709
Refuse,BT Thames,105 - 115 Thames Street,40.705862,-73.92875
Refuse,IESI - 50 St,"110 50th St Brooklyn, NY",40.650241,-74.018444
Refuse,Regal Recycling,"172-06 Douglas Avenue Jamaica, NY",40.703493,-73.79182
Refuse,Covanta - Essex,"183 Raymond Blvd Newark, NJ",40.737224,-74.126531
Refuse,WM - Varick,"215 Varick Ave Brooklyn, NY",40.7145,-73.929744
"Met, Glass, Plastic, Paper",Sims - LIC,"30-27 Greenpoint Avenue LIC, NY",40.737347,-73.943138
Paper,Lobosco,"31-33 Farrington St Queens, NY",40.768633,-73.832984
Refuse,North Shore MTS,31st Avenue/122nd Street,40.770897,-73.849199
Refuse,WM- A1 Compaction,"325 Yonkers Ave., Yonkers NY",40.93371,-73.873182
Refuse,IWS Jersey City,"375 US 1 /9 truck South, Jersey City, NJ ",40.740392,-74.080059
Refuse,WM: Review,"38-50 Review Ave Queens, NY",40.73083,-73.934488
Paper,Visy,"4435 Victory Blvd SI, NY",40.587147,-74.199155
"Met, Glass, Plastic, Paper",Sims Bklyn,"472 2nd Ave Brooklyn, NY",40.661202,-74.005105
Paper,Visy 59th St,"59th St Pier NY, NY",40.773171,-73.994637
Refuse,SITS,"600 West Service Rd Staten Island, NY",40.585864,-74.193074
Refuse,WM- Fairview,"61-75 Broad Ave, Fairview NJ",40.817483,-74.008918
"Met, Glass, Plastic, Paper",Sims - Bronx,"850 Edgewater Road  Bronx, NY",40.81874,-73.882543
Refuse,Action Stanley,"941 Stanley Avenue Broolyn, NY",40.663921,-73.874593
Refuse,WM-Harlem River,"98 Lincoln Ave Bronx, NY",40.807793,-73.929659
